,ID,subsystem
55,5ADTSTSTERONESULT,Steroid metabolism
56,5HLTDL,Tryptophan metabolism
57,5HOXINDACTO2OX,Tryptophan metabolism
58,5HOXINDACTOXm,Tryptophan metabolism
59,5HOXINOXDA,Tryptophan metabolism
60,5HTRPDOX,Tryptophan metabolism
61,5HXKYNDCL,Tryptophan metabolism
62,5HXKYNOXDA,Tryptophan metabolism
63,A_MANASE,N-glycan degradation
64,A_MANASEly,N-glycan degradation
65,A4GALTc,Sphingolipid metabolism
66,A4GALTg,Sphingolipid metabolism
67,A4GNT1g,O-glycan synthesis
68,A4GNT2g,O-glycan synthesis
69,AACOAT,Propanoate metabolism
70,AACTOOR,"Glycine, serine, alanine and threonine metabolism"
71,AASAD3m,Lysine metabolism
72,AATAi,Lysine metabolism
73,ABO1g,Blood group synthesis
74,ABO2g,Blood group synthesis
75,ABO3g,Blood group synthesis
76,ABO4g,Blood group synthesis
77,ABO5g,Blood group synthesis
78,ABO6g,Blood group synthesis
79,ABO7g,Blood group synthesis
80,ABO8g,Blood group synthesis
81,ABO9g,Blood group synthesis
82,ABTArm,Glutamate metabolism
83,ABTD,Pentose phosphate pathway
84,ABUTD,beta-Alanine metabolism
85,ACACT10m,"Valine, leucine, and isoleucine metabolism"
86,ACACT1r,Tryptophan metabolism
87,ACACT1rm,Tryptophan metabolism
88,ACACT1x,Cholesterol metabolism
89,ACACT4p,Fatty acid oxidation
90,ACACT5p,Fatty acid oxidation
91,ACACT6p,Fatty acid oxidation
92,ACACT7p,Fatty acid oxidation
93,ACACT8p,Fatty acid oxidation
94,ACACT9p,Fatty acid oxidation
95,ACCOAC,Fatty acid oxidation
96,ACCOACm,Fatty acid oxidation
97,ACCOAL,Propanoate metabolism
98,ACCOALm,Propanoate metabolism
99,ACGALK,Aminosugar metabolism
100,ACGALK2,Aminosugar metabolism
101,ACGAM2E,Aminosugar metabolism
102,ACGAM6PSi,Aminosugar metabolism
103,ACGAMK,Aminosugar metabolism
104,ACGAMPM,Aminosugar metabolism
105,ACGPID,Phosphatidylinositol phosphate metabolism
106,ACGSm,Urea cycle
107,ACHEe,Glycerophospholipid metabolism
108,ACITL,Citric acid cycle
109,ACNAM9PL,Aminosugar metabolism
110,ACNAM9PL2,Aminosugar metabolism
111,ACNAMPH,Aminosugar metabolism
112,ACNMLr,Aminosugar metabolism
113,ACOAD10m,"Valine, leucine, and isoleucine metabolism"
114,ACOAD1fm,Butanoate metabolism
115,ACOAD8m,"Valine, leucine, and isoleucine metabolism"
116,ACOAD9m,"Valine, leucine, and isoleucine metabolism"
117,ACOAHi,Pyruvate metabolism
118,ACOAO7p,Fatty acid oxidation
119,ACOATA,Fatty acid oxidation
120,ACODA,Urea cycle
121,ACONT,Citric acid cycle
122,ACONTm,Citric acid cycle
123,ACOX22x,Bile acid synthesis
124,ACOX2x,Bile acid synthesis
125,ACP1_FMN_,Vitamin B2 metabolism
126,ACS,Glycolysis/gluconeogenesis
127,ACS2,Propanoate metabolism
128,ACSm,Glycolysis/gluconeogenesis
129,ACSOMT,Tryptophan metabolism
130,ACSRTNMT,Tryptophan metabolism
131,ACTLMO,Pyruvate metabolism
132,ACTNMO,Pyruvate metabolism
133,ACYP,Glycolysis/gluconeogenesis
134,ADA,Purine catabolism
135,ADAe,Purine catabolism
136,ADCim,Propanoate metabolism
137,ADK1,Nucleotide interconversion
138,ADK1m,Nucleotide interconversion
139,ADK3,Nucleotide interconversion
140,ADK3m,Nucleotide interconversion
141,ADKd,Nucleotide interconversion
142,ADMDC,Arginine and Proline Metabolism
143,ADNCYC,Nucleotide interconversion
144,ADNK1,Nucleotide interconversion
145,ADNK1m,Nucleotide interconversion
146,ADPGLC,Nucleotide interconversion
147,ADPMAN,Nucleotide interconversion
148,ADPRDP,Nucleotide interconversion
149,ADPRDPm,Nucleotide interconversion
150,ADPT,Nucleotide salvage pathway
151,ADRNCPT1,Fatty acid oxidation
152,ADRNCPT2,Fatty acid oxidation
153,ADSELK,Selenoamino acid metabolism
154,ADSK,Nucleotide interconversion
155,ADSL1,Nucleotide interconversion
156,ADSL2,Purine synthesis
157,ADSS,Nucleotide interconversion
158,AG13T10g,Keratan sulfate synthesis
159,AG13T11g,Keratan sulfate synthesis
160,AG13T12g,Keratan sulfate synthesis
161,AG13T13g,Keratan sulfate synthesis
162,AG13T14g,Keratan sulfate synthesis
163,AG13T15g,Keratan sulfate synthesis
164,AG13T16g,Keratan sulfate synthesis
165,AG13T17g,Keratan sulfate synthesis
166,AG13T18g,Keratan sulfate synthesis
167,AG13T1g,Keratan sulfate synthesis
168,AG13T2g,Keratan sulfate synthesis
169,AG13T3g,Keratan sulfate synthesis
170,AG13T4g,Keratan sulfate synthesis
171,AG13T5g,Keratan sulfate synthesis
172,AG13T6g,Keratan sulfate synthesis
173,AG13T7g,Keratan sulfate synthesis
174,AG13T8g,Keratan sulfate synthesis
175,AG13T9g,Keratan sulfate synthesis
176,AGDC,Aminosugar metabolism
177,AGLPC,Glycerophospholipid metabolism
178,AGLPED,Glycerophospholipid metabolism
179,AGLPET,Glycerophospholipid metabolism
180,AGLPH,Glycerophospholipid metabolism
181,AGLPR,Glycerophospholipid metabolism
182,AGLPT,Glycerophospholipid metabolism
183,AGMTm,Arginine and Proline Metabolism
184,AGPAT1,Triacylglycerol synthesis
185,AGPRim,Urea cycle
186,AGTim,Alanine and aspartate metabolism
187,AGTix,Alanine and aspartate metabolism
188,AHC,Methionine and cysteine metabolism
189,AHEXASE2ly,N-glycan degradation
190,AHEXASEly,N-glycan degradation
191,AICART,Purine synthesis
192,AKGDm,Citric acid cycle
193,AKR1C1,Steroid metabolism
194,AKR1C41,Bile acid synthesis
195,AKR1C42,Bile acid synthesis
196,AKR1D,Bile acid synthesis
197,AKR1D2,Bile acid synthesis
198,ALAR,Alanine and aspartate metabolism
199,ALASm,"Glycine, serine, alanine and threonine metabolism"
200,ALATA_L,Glutamate metabolism
201,ALCD1,Miscellaneous
202,ALCD21_L,Pyruvate metabolism
203,ALCD22_L,Pyruvate metabolism
204,ALCD2if,Glycolysis/gluconeogenesis
205,ALCD2yf,Glycolysis/gluconeogenesis
206,ALDD20x,Tryptophan metabolism
207,ALDD20xm,Tryptophan metabolism
208,ALDD21,Fatty acid oxidation
209,ALDD2x,Glycolysis/gluconeogenesis
210,ALDD2xm,Glycolysis/gluconeogenesis
211,ALDD2y,Glycolysis/gluconeogenesis
212,ALKP,Glycerophospholipid metabolism
213,ALOX12,Eicosanoid metabolism
214,ALOX12R,Eicosanoid metabolism
215,ALOX15,Eicosanoid metabolism
216,ALOX5,Eicosanoid metabolism
217,ALOX52,Eicosanoid metabolism
218,ALR2,Pyruvate metabolism
219,ALR3,Pyruvate metabolism
220,AMACR2p,Bile acid synthesis
221,AMACR2r,Bile acid synthesis
222,AMACRp,Bile acid synthesis
223,AMACRr,Bile acid synthesis
224,AMANK,Aminosugar metabolism
225,AMCOXO,Tryptophan metabolism
226,AMPDA,Nucleotide interconversion
227,AMPTASECG,Glutathione metabolism
228,AMPTASECGe,Glutathione metabolism
229,AMY1e,Starch and sucrose metabolism
230,AMY2e,Starch and sucrose metabolism
231,AOBUTDsm,"Glycine, serine, alanine and threonine metabolism"
232,AP4AH1,Nucleotide interconversion
233,APAT2rm,beta-Alanine metabolism
234,APOCF,Biotin metabolism
235,APOCFm,Biotin metabolism
236,APOC_LYS_BTNP,Biotin metabolism
237,APOC_LYS_BTNPm,Biotin metabolism
238,APRTO2,Arginine and Proline Metabolism
239,ARABR,Pentose phosphate pathway
240,ARACHCPT1,Fatty acid oxidation
241,ARACHCPT2,Fatty acid oxidation
242,ARGDCm,Arginine and Proline Metabolism
243,ARGN,Urea cycle
244,ARGNm,Urea cycle
245,ARGSL,Alanine and aspartate metabolism
246,ARGSS,Alanine and aspartate metabolism
247,ARSA,Sphingolipid metabolism
248,ARTCOAL3,R group synthesis
249,R_group_phosphotase_3,Exchange
250,ARTFR207,R group synthesis
251,ARTFR31,R group synthesis
252,ARTFR51,R group synthesis
253,ARTPLM3,R group synthesis
254,ARTPLM3m,R group synthesis
255,ASAH1,Sphingolipid metabolism
256,ASCBOX,Vitamin C metabolism
257,ASNNm,Alanine and aspartate metabolism
258,ASNS1,Alanine and aspartate metabolism
259,ASP1DC,beta-Alanine metabolism
260,ASPCTr,Pyrimidine synthesis
261,ASPNATm,Alanine and aspartate metabolism
262,ASPTA,Alanine and aspartate metabolism
263,ASPTAm,Alanine and aspartate metabolism
264,ATPH1e,Nucleotide interconversion
265,ATPH2e,Nucleotide interconversion
266,B_MANNASEly,N-glycan degradation
267,B3GALT3g,Sphingolipid metabolism
268,B3GALT41g,Sphingolipid metabolism
269,B3GALT42g,Sphingolipid metabolism
270,B3GALT43g,Sphingolipid metabolism
271,B3GALT44g,Sphingolipid metabolism
272,B3GALT5g,Sphingolipid metabolism
273,B3GALTg,Blood group synthesis
274,B3GNT11g,Blood group synthesis
275,B3GNT12g,Blood group synthesis
276,B3GNT310g,Blood group synthesis
277,B3GNT311g,Blood group synthesis
278,B3GNT312g,Blood group synthesis
279,B3GNT313g,Blood group synthesis
280,B3GNT314g,Blood group synthesis
281,B3GNT315g,Blood group synthesis
282,B3GNT31g,Sphingolipid metabolism
283,B3GNT32g,Sphingolipid metabolism
284,B3GNT33g,Sphingolipid metabolism
285,B3GNT34g,Sphingolipid metabolism
286,B3GNT35g,Sphingolipid metabolism
287,B3GNT36g,Sphingolipid metabolism
288,B3GNT37g,Sphingolipid metabolism
289,B3GNT39g,Sphingolipid metabolism
290,B3GNT51g,Blood group synthesis
291,BAAT1x,Bile acid synthesis
292,BAAT2x,Bile acid synthesis
293,BAAT4x,Bile acid synthesis
294,BACCL,Biotin metabolism
295,BACCLm,Biotin metabolism
296,BAMPPALDOX,beta-Alanine metabolism
297,BAMPPALDOXm,beta-Alanine metabolism
298,BBHOX,Lysine metabolism
299,BCDO,Vitamin A metabolism
300,BDG2HCGHD,"Stilbene, coumarine and lignin synthesis"
301,BDHm,Butanoate metabolism
302,BDMT_U,N-glycan synthesis
303,BETALDHxm,"Glycine, serine, alanine and threonine metabolism"
304,BHMT,"Glycine, serine, alanine and threonine metabolism"
305,BILIRED,Heme degradation
306,BMTer_U,Phosphatidylinositol phosphate metabolism
307,BPNT,Nucleotide interconversion
308,BPNT2,Nucleotide interconversion
309,BTND1,Biotin metabolism
310,BTND1n,Biotin metabolism
311,BTNDe,Biotin metabolism
312,BTNDm,Biotin metabolism
313,BTNPL,Biotin metabolism
314,BTNPLm,Biotin metabolism
315,BUP2,Pyrimidine catabolism
316,C14STRr,Cholesterol metabolism
317,C160CPT1,Fatty acid oxidation
318,C160CPT2,Fatty acid oxidation
319,C161CPT1,Fatty acid oxidation
320,C161CPT12,Fatty acid oxidation
321,C161CPT2,Fatty acid oxidation
322,C161CPT22,Fatty acid oxidation
323,C180CPT1,Fatty acid oxidation
324,C180CPT2,Fatty acid oxidation
325,C181CPT1,Fatty acid oxidation
326,C181CPT2,Fatty acid oxidation
327,C204CPT1,Fatty acid oxidation
328,C204CPT2,Fatty acid oxidation
329,C226CPT1,Fatty acid oxidation
330,C226CPT2,Fatty acid oxidation
331,C2M26DCOAHLm,Limonene and pinene degradation
332,C2M26DCOAHLx,Limonene and pinene degradation
333,C3STDH1Pr,Cholesterol metabolism
334,C3STDH1r,Cholesterol metabolism
335,C3STKR2r,Cholesterol metabolism
336,C4STMO1r,Cholesterol metabolism
337,C4STMO2Pr,Cholesterol metabolism
338,C4STMO2r,Cholesterol metabolism
339,CAT2p,Glycolysis/gluconeogenesis
340,CATm,ROS detoxification
341,CATp,Miscellaneous
342,CBL2OR,Vitamin B12 metabolism
343,CBLATm,Vitamin B12 metabolism
344,CBPPer,Glycolysis/gluconeogenesis
345,CBPS,Pyrimidine synthesis
346,CBPSam,Glutamate metabolism
347,CBR1,Eicosanoid metabolism
348,CBR2,Eicosanoid metabolism
349,CDIPTr,Glycerophospholipid metabolism
350,CDS,Glycerophospholipid metabolism
351,CDSm,Glycerophospholipid metabolism
352,CEPTC,Glycerophospholipid metabolism
353,CEPTE,Glycerophospholipid metabolism
354,CERK,Sphingolipid metabolism
355,CH25H,Bile acid synthesis
356,CHAT,Glycerophospholipid metabolism
357,CHATn,Glycerophospholipid metabolism
358,CHLP,Glycerophospholipid metabolism
359,CHLPCTD,Glycerophospholipid metabolism
360,CHOLD2m,"Glycine, serine, alanine and threonine metabolism"
361,CHOLK,Glycerophospholipid metabolism
362,CHSTEROLSULT,Steroid metabolism
363,CHTNASE,Aminosugar metabolism
364,CHTNASEe,Aminosugar metabolism
365,CITL,Citric acid cycle
366,CITMCOAHm,C5-branched dibasic acid metabolism
367,CITMCOALm,C5-branched dibasic acid metabolism
368,CK,Urea cycle
369,CKc,Urea cycle
370,CLPNDCPT1,Fatty acid oxidation
371,CLPNDCPT2,Fatty acid oxidation
372,CLS_hs,Glycerophospholipid metabolism
373,CMPSAS,Aminosugar metabolism
374,CMPSASn,Aminosugar metabolism
375,COKECBESr,Alkaloid synthesis
376,COQ3m,Ubiquinone synthesis
377,COQ5m,Ubiquinone synthesis
378,COQ6m,Ubiquinone synthesis
379,COQ7m,Ubiquinone synthesis
380,CORE2GTg,O-glycan synthesis
381,CORE3GTg,O-glycan synthesis
382,CORE4GTg,O-glycan synthesis
383,CORE5GTg,O-glycan synthesis
384,CORE6GTg,O-glycan synthesis
385,CORE7GTg,O-glycan synthesis
386,CORE8GTg,O-glycan synthesis
387,COUCOAFm,Ubiquinone synthesis
388,CPCTDTX,Glycerophospholipid metabolism
389,CPPPGO,Heme synthesis
390,CRTNsyn,Urea cycle
391,CSAPASEly,Chondroitin sulfate degradation
392,CSBPASEly,Chondroitin sulfate degradation
393,CSCPASEly,Chondroitin sulfate degradation
394,CSDPASEly,Chondroitin sulfate degradation
395,CSEPASEly,Chondroitin sulfate degradation
396,CSm,Citric acid cycle
397,CSNAT2m,Fatty acid oxidation
398,CSNAT2x,Fatty acid oxidation
399,CSNAT3x,Fatty acid oxidation
400,CSNATer,Fatty acid oxidation
401,CSNATm,Fatty acid oxidation
402,CSNATp,Fatty acid oxidation
403,CSNATr,Fatty acid oxidation
404,CSND,Pyrimidine catabolism
405,CTPS1,Nucleotide interconversion
406,CTPS2,Pyrimidine synthesis
407,CYSGLTH,Methionine and cysteine metabolism
408,CYSLYSL,Methionine and cysteine metabolism
409,CYSO,Taurine and hypotaurine metabolism
410,CYSTA,Methionine and cysteine metabolism
411,CYSTAm,Methionine and cysteine metabolism
412,CYSTGL,Methionine and cysteine metabolism
413,CYSTS,Methionine and cysteine metabolism
414,CYTD,Pyrimidine catabolism
415,CYTDK1,Nucleotide interconversion
416,CYTDK2m,Nucleotide interconversion
417,CYTDn,Nucleotide interconversion
418,CYTK1,Nucleotide interconversion
419,CYTK10,Nucleotide interconversion
420,CYTK10n,Nucleotide interconversion
421,CYTK11,Nucleotide interconversion
422,CYTK11n,Nucleotide interconversion
423,CYTK12,Nucleotide interconversion
424,CYTK12n,Nucleotide interconversion
425,CYTK13,Nucleotide interconversion
426,CYTK13n,Nucleotide interconversion
427,CYTK14,Nucleotide interconversion
428,CYTK14n,Nucleotide interconversion
429,CYTK1m,Nucleotide interconversion
430,CYTK1n,Nucleotide interconversion
431,CYTK2,Nucleotide interconversion
432,CYTK2n,Nucleotide interconversion
433,CYTK3,Nucleotide interconversion
434,CYTK3n,Nucleotide interconversion
435,CYTK4,Nucleotide interconversion
436,CYTK4n,Nucleotide interconversion
437,CYTK5,Nucleotide interconversion
438,CYTK5n,Nucleotide interconversion
439,CYTK6,Nucleotide interconversion
440,CYTK6n,Nucleotide interconversion
441,CYTK7,Nucleotide interconversion
442,CYTK7n,Nucleotide interconversion
443,CYTK8,Nucleotide interconversion
444,CYTK8n,Nucleotide interconversion
445,CYTK9,Nucleotide interconversion
446,CYTK9n,Nucleotide interconversion
447,D3AIBTm,Pyrimidine catabolism
448,DADA,Nucleotide interconversion
449,DADAe,Nucleotide interconversion
450,DADNK,Nucleotide interconversion
451,DAGK_hs,Glycerophospholipid metabolism
452,DAGKn_hs,Glycerophospholipid metabolism
453,DALAOXx,D-alanine metabolism
454,DARGOp,Arginine and Proline Metabolism
455,DASCBH,Vitamin C metabolism
456,DASCBR,Vitamin C metabolism
457,DASPO1p,Alanine and aspartate metabolism
458,DCIm,Fatty acid oxidation
459,DCK1m,Nucleotide interconversion
460,DCK1n,Nucleotide interconversion
461,DCK2n,Nucleotide interconversion
462,DCMPDA,Pyrimidine catabolism
463,DCSPTN1CPT1,Fatty acid oxidation
464,DCSPTN1CPT2,Fatty acid oxidation
465,DCT,Tyrosine metabolism
466,DCYTD,Pyrimidine catabolism
467,DCYTDn,Nucleotide interconversion
468,DDPGAm,Arginine and Proline Metabolism
469,DEDOLP1_U,N-glycan synthesis
470,DEDOLP2_U,N-glycan synthesis
471,DEDOLR_U,N-glycan synthesis
472,DESAT16_2,Fatty acid synthesis
473,DESAT18_10,Fatty acid synthesis
474,DESAT18_3,Fatty acid synthesis
475,DESAT18_4,Fatty acid synthesis
476,DESAT18_5,Fatty acid synthesis
477,DESAT18_6,Fatty acid synthesis
478,DESAT18_7,Fatty acid synthesis
479,DESAT18_8,Fatty acid synthesis
480,DESAT18_9,Fatty acid synthesis
481,DESAT20_1,Fatty acid synthesis
482,DESAT20_2,Fatty acid synthesis
483,DESAT22_1p,Fatty acid synthesis
484,DESAT22_2p,Fatty acid synthesis
485,DESAT24_1,Fatty acid synthesis
486,DGAT,Triacylglycerol synthesis
487,DGK1,Nucleotide interconversion
488,DGK2m,Nucleotide interconversion
489,DGNSKm,Nucleotide interconversion
490,DGULND,Pentose phosphate pathway
491,DHAPA,Triacylglycerol synthesis
492,DHAPAx,Triacylglycerol synthesis
493,DHCR241r,Cholesterol metabolism
494,DHCR242r,Cholesterol metabolism
495,DHCR243r,Cholesterol metabolism
496,DHCR71r,Cholesterol metabolism
497,DHCR72r,Cholesterol metabolism
498,DHCRD1,Sphingolipid metabolism
499,DHCRD2,Sphingolipid metabolism
500,DHDPBMTm,Ubiquinone synthesis
501,DHEASULT,Steroid metabolism
502,DHFR,Folate metabolism
503,DHORTS,Pyrimidine synthesis
504,DHPM1,Pyrimidine catabolism
505,DHPM2,Pyrimidine catabolism
506,DHPR,Tetrahydrobiopterin metabolism
507,DHPR2,Tetrahydrobiopterin metabolism
508,DKMPPD,Arginine and Proline Metabolism
509,DLNLCGCPT1,Fatty acid oxidation
510,DLNLCGCPT2,Fatty acid oxidation
511,DM_atp_c_,Exchange/demand reaction
512,DMATT,Cholesterol metabolism
513,DMATTx,Cholesterol metabolism
514,DMGDHm,"Glycine, serine, alanine and threonine metabolism"
515,DMHPTCRNCPT1,Fatty acid oxidation
516,DMHPTCRNCPT2,Fatty acid oxidation
517,DMNONCOACRNCPT1,Fatty acid oxidation
518,DMNONCRNCPT2,Fatty acid oxidation
519,DNAMTn,Methionine and cysteine metabolism
520,DNAMTSEn,Selenoamino acid metabolism
521,DOGULND1,Vitamin C metabolism
522,DOGULND2,Vitamin C metabolism
523,DOGULNO1,Vitamin C metabolism
524,DOGULNO2,Vitamin C metabolism
525,DOLASNT_Uer,N-glycan synthesis
526,DOLDPP_Uer,N-glycan synthesis
527,DOLGPP_Uer,N-glycan synthesis
528,DOLK_U,N-glycan synthesis
529,DOLPGT1_Ler,N-glycan synthesis
530,DOLPGT1_Uer,N-glycan synthesis
531,DOLPGT2_Ler,N-glycan synthesis
532,DOLPGT2_Uer,N-glycan synthesis
533,DOLPGT3_Ler,N-glycan synthesis
534,DOLPGT3_Uer,N-glycan synthesis
535,DOLPH_Uer,N-glycan synthesis
536,DOLPMT_U,N-glycan synthesis
537,DOLPMT1_Uer,N-glycan synthesis
538,DOLPMT2_Uer,N-glycan synthesis
539,DOLPMT3_Uer,N-glycan synthesis
540,DOLPMT4_Uer,N-glycan synthesis
541,DOPABMO,Tyrosine metabolism
542,DOPACHRMISO,Tyrosine metabolism
543,DOPAMT,Tyrosine metabolism
544,DOPAQNISO1,Tyrosine metabolism
545,DOPASULT,Tyrosine metabolism
546,DORNOp,Arginine and Proline Metabolism
547,DPCOAK,CoA synthesis
548,DPGase,Glycolysis/gluconeogenesis
549,DPGM,Glycolysis/gluconeogenesis
550,DPHMBDCm,Ubiquinone synthesis
551,DPMVDx,Cholesterol metabolism
552,DPPS,Miscellaneous
553,DPROOp,Arginine and Proline Metabolism
554,DRBK,Pentose phosphate pathway
555,DRPA,Pentose phosphate pathway
556,DSAT,Sphingolipid metabolism
557,DTMPK,Nucleotide interconversion
558,DURAD,Pyrimidine catabolism
559,DURAD2,Pyrimidine catabolism
560,DURIK1,Nucleotide interconversion
561,DURIK1m,Nucleotide interconversion
562,DURIPP,Nucleotide interconversion
563,DUTPDPm,Nucleotide interconversion
564,DUTPDPn,Nucleotide interconversion
565,EBP1r,Cholesterol metabolism
566,EBP2r,Cholesterol metabolism
567,ECGISOr,Alkaloid synthesis
568,ECOAH12m,"Valine, leucine, and isoleucine metabolism"
569,ECOAH1m,Tryptophan metabolism
570,ECOAH1x,Tryptophan metabolism
571,ECOAH9m,"Valine, leucine, and isoleucine metabolism"
572,EGMESTr,Alkaloid synthesis
573,EHGLAT,Arginine and Proline Metabolism
574,EHGLAT2m,Arginine and Proline Metabolism
575,EHGLATm,Arginine and Proline Metabolism
576,EICOSTETCPT1,Fatty acid oxidation
577,EICOSTETCPT2,Fatty acid oxidation
578,ELAIDCPT1,Fatty acid oxidation
579,ELAIDCPT2,Fatty acid oxidation
580,ENGASE,N-glycan degradation
581,ENGASE2,N-glycan degradation
582,ENGASE2ly,N-glycan degradation
583,ENGASE3ly,Keratan sulfate degradation
584,ENGASEly,N-glycan degradation
585,ENMAN1g,N-glycan synthesis
586,ENMAN2g,N-glycan synthesis
587,ENMAN3g,N-glycan synthesis
588,ENMAN4g,N-glycan synthesis
589,ENMAN5g,N-glycan synthesis
590,ENMAN6g,N-glycan synthesis
591,ENO,Glycolysis/gluconeogenesis
592,EPCTX,Glycerophospholipid metabolism
593,ESTSULT,Steroid metabolism
594,ETF,Fatty acid oxidation
595,ETFQO,Fatty acid oxidation
596,ETHAK,Glycerophospholipid metabolism
597,ETHP,Glycerophospholipid metabolism
598,ETOHMO,Glycolysis/gluconeogenesis
599,F1PGT,Fructose and mannose metabolism
600,F6Tg,N-glycan synthesis
601,FA120ACPH,Fatty acid oxidation
602,FA140ACPH,Fatty acid oxidation
603,FA141ACPH,Fatty acid oxidation
604,FA160ACPH,Fatty acid oxidation
605,FA161ACPH,Fatty acid oxidation
606,FA180ACPH,Fatty acid oxidation
607,FA181ACPH,Fatty acid oxidation
608,FA1821ACPH,Fatty acid oxidation
609,FA1822ACPH,Fatty acid oxidation
610,FA182ACPH,Fatty acid oxidation
611,FACOAL140i,Fatty acid oxidation
612,FACOAL150,Fatty acid oxidation
613,FACOAL160i,Fatty acid oxidation
614,FACOAL161,Fatty acid oxidation
615,FACOAL170,Fatty acid oxidation
616,FACOAL180i,Fatty acid oxidation
617,FACOAL1812,Fatty acid oxidation
618,FACOAL1813,Fatty acid oxidation
619,FACOAL181i,Fatty acid oxidation
620,FACOAL1821,Fatty acid oxidation
621,FACOAL1822,Fatty acid oxidation
622,FACOAL1831,Fatty acid oxidation
623,FACOAL1832,Fatty acid oxidation
624,FACOAL184,Fatty acid oxidation
625,FACOAL191,Fatty acid oxidation
626,FACOAL200,Fatty acid oxidation
627,FACOAL203,Fatty acid oxidation
628,FACOAL204,Fatty acid oxidation
629,FACOAL2042,Fatty acid oxidation
630,FACOAL205,Fatty acid oxidation
631,FACOAL206,Fatty acid oxidation
632,FACOAL224,Fatty acid oxidation
633,FACOAL2251,Fatty acid oxidation
634,FACOAL2252,Fatty acid oxidation
635,FACOAL226,Fatty acid oxidation
636,FACOAL240,Fatty acid oxidation
637,FACOAL241,Fatty acid oxidation
638,FACOAL244_1,Fatty acid oxidation
639,FACOAL245_1,Fatty acid oxidation
640,FACOAL245_2,Fatty acid oxidation
641,FACOAL246_1,Fatty acid oxidation
642,FACOAL260,Fatty acid oxidation
643,FACOAL40im,Fatty acid oxidation
644,FACOAL80i,Fatty acid oxidation
645,FADDP,Vitamin B2 metabolism
646,FAEL183,Fatty acid synthesis
647,FAEL184,Fatty acid synthesis
648,FAEL204,Fatty acid synthesis
649,FAEL205,Fatty acid synthesis
650,FAH1,Cytochrome metabolism
651,FAH2,Cytochrome metabolism
652,FAH3,Cytochrome metabolism
653,FALDH,Tyrosine metabolism
654,FAOXC180,Fatty acid oxidation
655,FAOXC180x,Fatty acid oxidation
656,FAOXC1811601m,Fatty acid oxidation
657,FAOXC182806m,Fatty acid oxidation
658,FAOXC183806m,Fatty acid oxidation
659,FAOXC183806x,Fatty acid oxidation
660,FAOXC200180m,Fatty acid oxidation
661,FAOXC200180x,Fatty acid oxidation
662,FAOXC2031836m,Fatty acid oxidation
663,FAOXC2051843m,Fatty acid oxidation
664,FAOXC2051843x,Fatty acid oxidation
665,FAOXC2242046m,Fatty acid oxidation
666,FAOXC2242046x,Fatty acid oxidation
