,reactions,weights
68,A4GNT2g,0.0
69,AACOAT,0.0
70,AACTOOR,3.271883576
71,AASAD3m,0.0
72,AATAi,0.0
73,ABO1g,0.0
74,ABO2g,0.0
75,ABO3g,0.0
76,ABO4g,0.0
77,ABO5g,0.0
78,ABO6g,0.0
79,ABO7g,0.0
80,ABO8g,0.0
81,ABO9g,0.0
82,ABTArm,0.0
83,ABTD,0.0
84,ABUTD,0.0
85,ACACT10m,0.0
86,ACACT1r,0.0
87,ACACT1rm,0.0
88,ACACT1x,0.0
89,ACACT4p,0.0
90,ACACT5p,0.0
91,ACACT6p,0.0
92,ACACT7p,0.0
93,ACACT8p,0.0
94,ACACT9p,0.0
95,ACCOAC,0.0
96,ACCOACm,0.0
97,ACCOAL,0.0
98,ACCOALm,0.0
99,ACGALK,0.0
100,ACGALK2,0.0
101,ACGAM2E,0.0
102,ACGAM6PSi,0.0
103,ACGAMK,0.0
104,ACGAMPM,0.0
105,ACGPID,0.0
106,ACGSm,0.0
107,ACHEe,0.0
108,ACITL,0.0
109,ACNAM9PL,0.0
110,ACNAM9PL2,0.0
111,ACNAMPH,0.0
112,ACNMLr,0.0
113,ACOAD10m,0.0
114,ACOAD1fm,0.0
115,ACOAD8m,0.0
116,ACOAD9m,0.0
117,ACOAHi,4.674195366
118,ACOAO7p,0.0
119,ACOATA,0.0
120,ACODA,0.0
121,ACONT,0.0
122,ACONTm,0.0
123,ACOX22x,0.0
124,ACOX2x,0.0
125,ACP1_FMN_,0.0
126,ACS,0.0
127,ACS2,0.0
128,ACSm,0.0
129,ACSOMT,0.0
130,ACSRTNMT,0.0
131,ACTLMO,0.0
132,ACTNMO,0.0
133,ACYP,0.0
134,ADA,0.0
135,ADAe,0.0
136,ADCim,0.0
137,ADK1,0.0
138,ADK1m,0.0
139,ADK3,0.0
140,ADK3m,0.0
141,ADKd,0.0
142,ADMDC,0.0
143,ADNCYC,0.0
144,ADNK1,0.0
145,ADNK1m,0.0
146,ADPGLC,0.0
147,ADPMAN,0.0
148,ADPRDP,0.0
149,ADPRDPm,0.0
150,ADPT,0.0
151,ADRNCPT1,0.0
152,ADRNCPT2,0.0
153,ADSELK,0.0
154,ADSK,0.0
155,ADSL1,0.0
156,ADSL2,0.0
157,ADSS,0.0
158,AG13T10g,0.0
159,AG13T11g,0.0
160,AG13T12g,0.0
161,AG13T13g,0.0
162,AG13T14g,0.0
163,AG13T15g,0.0
164,AG13T16g,0.0
165,AG13T17g,0.0
166,AG13T18g,0.0
167,AG13T1g,0.0
168,AG13T2g,0.0
169,AG13T3g,0.0
170,AG13T4g,0.0
171,AG13T5g,0.0
172,AG13T6g,0.0
173,AG13T7g,0.0
174,AG13T8g,0.0
175,AG13T9g,0.0
176,AGDC,0.0
177,AGLPC,0.0
178,AGLPED,0.0
179,AGLPET,0.0
180,AGLPH,0.0
181,AGLPR,0.0
182,AGLPT,0.0
183,AGMTm,0.0
184,AGPAT1,3.63360762
185,AGPRim,0.0
186,AGTim,0.0
187,AGTix,0.0
188,AHC,0.0
189,AHEXASE2ly,0.0
190,AHEXASEly,0.0
191,AICART,0.0
192,AKGDm,0.0
193,AKR1C1,0.0
194,AKR1C41,0.0
195,AKR1C42,0.0
196,AKR1D,0.0
197,AKR1D2,0.0
198,ALAR,0.0
199,ALASm,0.0
200,ALATA_L,0.0
201,ALCD1,3.459116557
202,ALCD21_L,3.459116557
203,ALCD22_L,3.459116557
204,ALCD2if,3.459116557
205,ALCD2yf,0.0
206,ALDD20x,0.0
207,ALDD20xm,0.0
208,ALDD21,0.0
209,ALDD2x,0.0
210,ALDD2xm,0.0
211,ALDD2y,0.0
212,ALKP,0.0
213,ALOX12,0.0
214,ALOX12R,0.0
215,ALOX15,0.0
216,ALOX5,0.0
217,ALOX52,0.0
218,ALR2,0.0
219,ALR3,0.0
220,AMACR2p,0.0
221,AMACR2r,0.0
222,AMACRp,0.0
223,AMACRr,0.0
224,AMANK,0.0
225,AMCOXO,0.0
226,AMPDA,3.37705591
227,AMPTASECG,0.0
228,AMPTASECGe,0.0
229,AMY1e,0.0
230,AMY2e,0.0
231,AOBUTDsm,0.0
232,AP4AH1,0.0
233,APAT2rm,0.0
234,APOCF,0.0
235,APOCFm,0.0
236,APOC_LYS_BTNP,0.0
237,APOC_LYS_BTNPm,0.0
238,APRTO2,0.0
239,ARABR,0.0
240,ARACHCPT1,0.0
241,ARACHCPT2,0.0
242,ARGDCm,-3.382011284
243,ARGN,0.0
244,ARGNm,-3.909012726
245,ARGSL,0.0
246,ARGSS,0.0
247,ARSA,0.0
248,ARTCOAL3,0.0
249,R_group_phosphotase_3,0.0
250,ARTFR207,0.0
251,ARTFR31,0.0
252,ARTFR51,0.0
253,ARTPLM3,0.0
254,ARTPLM3m,0.0
255,ASAH1,0.0
256,ASCBOX,0.0
257,ASNNm,0.0
258,ASNS1,-8.510371919
259,ASP1DC,0.0
260,ASPCTr,0.0
261,ASPNATm,0.0
262,ASPTA,-4.352289701
263,ASPTAm,0.0
264,ATPH1e,0.0
265,ATPH2e,0.0
266,B_MANNASEly,0.0
267,B3GALT3g,0.0
268,B3GALT41g,0.0
269,B3GALT42g,0.0
270,B3GALT43g,0.0
271,B3GALT44g,0.0
272,B3GALT5g,0.0
273,B3GALTg,0.0
274,B3GNT11g,0.0
275,B3GNT12g,0.0
276,B3GNT310g,0.0
277,B3GNT311g,0.0
278,B3GNT312g,0.0
279,B3GNT313g,0.0
280,B3GNT314g,0.0
281,B3GNT315g,0.0
282,B3GNT31g,0.0
283,B3GNT32g,0.0
284,B3GNT33g,0.0
285,B3GNT34g,0.0
286,B3GNT35g,0.0
287,B3GNT36g,0.0
288,B3GNT37g,0.0
289,B3GNT39g,0.0
290,B3GNT51g,0.0
291,BAAT1x,0.0
292,BAAT2x,0.0
293,BAAT4x,0.0
294,BACCL,0.0
295,BACCLm,0.0
296,BAMPPALDOX,0.0
297,BAMPPALDOXm,0.0
298,BBHOX,0.0
299,BCDO,0.0
300,BDG2HCGHD,0.0
301,BDHm,0.0
302,BDMT_U,0.0
303,BETALDHxm,0.0
304,BHMT,0.0
305,BILIRED,0.0
306,BMTer_U,0.0
307,BPNT,0.0
308,BPNT2,0.0
309,BTND1,0.0
310,BTND1n,0.0
311,BTNDe,0.0
312,BTNDm,0.0
313,BTNPL,0.0
314,BTNPLm,0.0
315,BUP2,0.0
316,C14STRr,0.0
317,C160CPT1,0.0
318,C160CPT2,0.0
319,C161CPT1,0.0
320,C161CPT12,0.0
321,C161CPT2,0.0
322,C161CPT22,0.0
323,C180CPT1,0.0
324,C180CPT2,0.0
325,C181CPT1,0.0
326,C181CPT2,0.0
327,C204CPT1,0.0
328,C204CPT2,0.0
329,C226CPT1,0.0
330,C226CPT2,0.0
331,C2M26DCOAHLm,0.0
332,C2M26DCOAHLx,0.0
333,C3STDH1Pr,0.0
334,C3STDH1r,0.0
335,C3STKR2r,0.0
336,C4STMO1r,0.0
337,C4STMO2Pr,0.0
338,C4STMO2r,0.0
339,CAT2p,0.0
340,CATm,0.0
341,CATp,0.0
342,CBL2OR,0.0
343,CBLATm,-4.010151596
344,CBPPer,0.0
345,CBPS,0.0
346,CBPSam,0.0
347,CBR1,0.0
348,CBR2,0.0
349,CDIPTr,0.0
350,CDS,0.0
351,CDSm,0.0
352,CEPTC,0.0
353,CEPTE,0.0
354,CERK,0.0
355,CH25H,0.0
356,CHAT,0.0
357,CHATn,0.0
358,CHLP,0.0
359,CHLPCTD,0.0
360,CHOLD2m,0.0
361,CHOLK,0.0
362,CHSTEROLSULT,0.0
363,CHTNASE,0.0
364,CHTNASEe,0.0
365,CITL,0.0
366,CITMCOAHm,0.0
367,CITMCOALm,0.0
368,CK,0.0
369,CKc,0.0
370,CLPNDCPT1,0.0
371,CLPNDCPT2,0.0
372,CLS_hs,0.0
373,CMPSAS,0.0
374,CMPSASn,0.0
375,COKECBESr,0.0
376,COQ3m,0.0
377,COQ5m,0.0
378,COQ6m,0.0
379,COQ7m,0.0
380,CORE2GTg,0.0
381,CORE3GTg,0.0
382,CORE4GTg,0.0
383,CORE5GTg,0.0
384,CORE6GTg,0.0
385,CORE7GTg,0.0
386,CORE8GTg,0.0
387,COUCOAFm,0.0
388,CPCTDTX,0.0
389,CPPPGO,0.0
390,CRTNsyn,0.0
391,CSAPASEly,0.0
392,CSBPASEly,0.0
393,CSCPASEly,0.0
394,CSDPASEly,0.0
395,CSEPASEly,0.0
396,CSm,0.0
397,CSNAT2m,0.0
398,CSNAT2x,0.0
399,CSNAT3x,0.0
400,CSNATer,0.0
401,CSNATm,0.0
402,CSNATp,0.0
403,CSNATr,0.0
404,CSND,0.0
405,CTPS1,0.0
406,CTPS2,0.0
407,CYSGLTH,0.0
408,CYSLYSL,0.0
409,CYSO,0.0
410,CYSTA,-4.352289701
411,CYSTAm,0.0
412,CYSTGL,-4.307215435
413,CYSTS,-5.256606043
414,CYTD,0.0
415,CYTDK1,0.0
416,CYTDK2m,0.0
417,CYTDn,0.0
418,CYTK1,0.0
419,CYTK10,0.0
420,CYTK10n,0.0
421,CYTK11,0.0
422,CYTK11n,0.0
423,CYTK12,0.0
424,CYTK12n,0.0
425,CYTK13,0.0
426,CYTK13n,0.0
427,CYTK14,0.0
428,CYTK14n,0.0
429,CYTK1m,0.0
430,CYTK1n,0.0
431,CYTK2,0.0
432,CYTK2n,0.0
433,CYTK3,0.0
434,CYTK3n,0.0
435,CYTK4,0.0
436,CYTK4n,0.0
437,CYTK5,0.0
438,CYTK5n,0.0
439,CYTK6,0.0
440,CYTK6n,0.0
441,CYTK7,0.0
442,CYTK7n,0.0
443,CYTK8,0.0
444,CYTK8n,0.0
445,CYTK9,0.0
446,CYTK9n,0.0
447,D3AIBTm,0.0
448,DADA,0.0
449,DADAe,0.0
450,DADNK,0.0
451,DAGK_hs,0.0
452,DAGKn_hs,0.0
453,DALAOXx,0.0
454,DARGOp,0.0
455,DASCBH,0.0
456,DASCBR,0.0
457,DASPO1p,0.0
458,DCIm,0.0
459,DCK1m,0.0
460,DCK1n,0.0
461,DCK2n,0.0
462,DCMPDA,0.0
463,DCSPTN1CPT1,0.0
464,DCSPTN1CPT2,0.0
465,DCT,0.0
466,DCYTD,0.0
467,DCYTDn,0.0
468,DDPGAm,0.0
469,DEDOLP1_U,0.0
470,DEDOLP2_U,0.0
471,DEDOLR_U,0.0
472,DESAT16_2,0.0
473,DESAT18_10,0.0
474,DESAT18_3,0.0
475,DESAT18_4,0.0
476,DESAT18_5,0.0
477,DESAT18_6,0.0
478,DESAT18_7,0.0
479,DESAT18_8,0.0
480,DESAT18_9,0.0
481,DESAT20_1,0.0
482,DESAT20_2,0.0
483,DESAT22_1p,0.0
484,DESAT22_2p,0.0
485,DESAT24_1,0.0
486,DGAT,0.0
487,DGK1,0.0
488,DGK2m,0.0
489,DGNSKm,0.0
490,DGULND,0.0
491,DHAPA,0.0
492,DHAPAx,0.0
493,DHCR241r,0.0
494,DHCR242r,0.0
495,DHCR243r,0.0
496,DHCR71r,0.0
497,DHCR72r,0.0
498,DHCRD1,0.0
499,DHCRD2,0.0
500,DHDPBMTm,0.0
501,DHEASULT,0.0
502,DHFR,0.0
503,DHORTS,0.0
504,DHPM1,0.0
505,DHPM2,0.0
506,DHPR,0.0
507,DHPR2,0.0
508,DKMPPD,0.0
509,DLNLCGCPT1,0.0
510,DLNLCGCPT2,0.0
511,DM_atp_c_,0.0
512,DMATT,0.0
513,DMATTx,0.0
514,DMGDHm,0.0
515,DMHPTCRNCPT1,0.0
516,DMHPTCRNCPT2,0.0
517,DMNONCOACRNCPT1,0.0
518,DMNONCRNCPT2,0.0
519,DNAMTn,0.0
520,DNAMTSEn,0.0
521,DOGULND1,0.0
522,DOGULND2,0.0
523,DOGULNO1,0.0
524,DOGULNO2,0.0
525,DOLASNT_Uer,0.0
526,DOLDPP_Uer,0.0
527,DOLGPP_Uer,0.0
528,DOLK_U,0.0
529,DOLPGT1_Ler,0.0
530,DOLPGT1_Uer,0.0
531,DOLPGT2_Ler,0.0
532,DOLPGT2_Uer,0.0
533,DOLPGT3_Ler,0.0
534,DOLPGT3_Uer,0.0
535,DOLPH_Uer,0.0
536,DOLPMT_U,0.0
537,DOLPMT1_Uer,0.0
538,DOLPMT2_Uer,0.0
539,DOLPMT3_Uer,0.0
540,DOLPMT4_Uer,0.0
541,DOPABMO,0.0
542,DOPACHRMISO,0.0
543,DOPAMT,0.0
544,DOPAQNISO1,0.0
545,DOPASULT,0.0
546,DORNOp,0.0
547,DPCOAK,0.0
548,DPGase,4.490365783
549,DPGM,4.490365783
550,DPHMBDCm,0.0
551,DPMVDx,0.0
552,DPPS,0.0
553,DPROOp,0.0
554,DRBK,0.0
555,DRPA,0.0
556,DSAT,0.0
557,DTMPK,0.0
558,DURAD,0.0
559,DURAD2,0.0
560,DURIK1,0.0
561,DURIK1m,0.0
562,DURIPP,0.0
563,DUTPDPm,0.0
564,DUTPDPn,-3.501784593
565,EBP1r,0.0
566,EBP2r,0.0
567,ECGISOr,0.0
568,ECOAH12m,0.0
569,ECOAH1m,0.0
570,ECOAH1x,0.0
571,ECOAH9m,0.0
572,EGMESTr,0.0
573,EHGLAT,-4.352289701
574,EHGLAT2m,0.0
575,EHGLATm,0.0
576,EICOSTETCPT1,0.0
577,EICOSTETCPT2,0.0
578,ELAIDCPT1,0.0
579,ELAIDCPT2,0.0
580,ENGASE,0.0
581,ENGASE2,0.0
582,ENGASE2ly,0.0
583,ENGASE3ly,0.0
584,ENGASEly,0.0
585,ENMAN1g,0.0
586,ENMAN2g,0.0
587,ENMAN3g,0.0
588,ENMAN4g,0.0
589,ENMAN5g,0.0
590,ENMAN6g,0.0
591,ENO,0.0
592,EPCTX,0.0
593,ESTSULT,0.0
594,ETF,0.0
595,ETFQO,0.0
596,ETHAK,7.598258414
597,ETHP,0.0
598,ETOHMO,0.0
599,F1PGT,0.0
600,F6Tg,0.0
601,FA120ACPH,0.0
602,FA140ACPH,0.0
603,FA141ACPH,0.0
604,FA160ACPH,0.0
605,FA161ACPH,0.0
606,FA180ACPH,0.0
607,FA181ACPH,0.0
608,FA1821ACPH,0.0
609,FA1822ACPH,0.0
610,FA182ACPH,0.0
611,FACOAL140i,0.0
612,FACOAL150,0.0
613,FACOAL160i,0.0
614,FACOAL161,0.0
615,FACOAL170,0.0
616,FACOAL180i,0.0
617,FACOAL1812,0.0
618,FACOAL1813,0.0
619,FACOAL181i,0.0
620,FACOAL1821,0.0
621,FACOAL1822,0.0
622,FACOAL1831,0.0
623,FACOAL1832,0.0
624,FACOAL184,0.0
625,FACOAL191,0.0
626,FACOAL200,0.0
627,FACOAL203,0.0
628,FACOAL204,0.0
629,FACOAL2042,0.0
630,FACOAL205,0.0
631,FACOAL206,0.0
632,FACOAL224,0.0
633,FACOAL2251,0.0
634,FACOAL2252,0.0
635,FACOAL226,0.0
636,FACOAL240,0.0
637,FACOAL241,0.0
638,FACOAL244_1,0.0
639,FACOAL245_1,0.0
640,FACOAL245_2,0.0
641,FACOAL246_1,0.0
642,FACOAL260,0.0
643,FACOAL40im,0.0
644,FACOAL80i,0.0
645,FADDP,0.0
646,FAEL183,0.0
647,FAEL184,0.0
648,FAEL204,0.0
649,FAEL205,0.0
650,FAH1,0.0
651,FAH2,0.0
652,FAH3,0.0
653,FALDH,0.0
654,FAOXC180,0.0
655,FAOXC180x,0.0
656,FAOXC1811601m,0.0
657,FAOXC182806m,0.0
658,FAOXC183806m,0.0
659,FAOXC183806x,0.0
660,FAOXC200180m,0.0
661,FAOXC200180x,0.0
662,FAOXC2031836m,0.0
663,FAOXC2051843m,0.0
664,FAOXC2051843x,0.0
665,FAOXC2242046m,0.0
666,FAOXC2242046x,0.0
667,FAOXC2251836m,0.0
668,FAOXC2251836x,0.0
669,FAOXC2252053m,0.0
670,FAOXC2252053x,0.0
671,FAOXC226205m,0.0
672,FAOXC226205x,0.0
673,FAOXC2442246x,0.0
674,FAOXC2452253x,0.0
675,FAOXC2452256x,0.0
676,FAOXC246226x,0.0
677,FAOXC260240x,0.0
678,FAS100COA,0.0
679,FAS120COA,0.0
680,FAS140COA,0.0
681,FAS160COA,0.0
682,FAS180COA,0.0
683,FAS80COA_L,0.0
684,FBA,0.0
685,FBA2,0.0
686,FBA4,0.0
687,FBA5,0.0
688,FBP,0.0
689,FBP26,0.0
690,FCLTm,0.0
691,FCOAH,0.0
692,FDH,0.0
693,FE3R2e,0.0
694,FK,0.0
695,FKYNH,0.0
696,FMNAT,0.0
697,FOLR2,0.0
698,FPGS,0.0
699,FPGS2,0.0
700,FPGS2m,0.0
701,FPGS3,0.0
702,FPGS3m,0.0
703,FPGS4,0.0
704,FPGS4m,0.0
705,FPGS5,0.0
706,FPGS5m,0.0
707,FPGS6,0.0
708,FPGS6m,0.0
709,FPGS7,0.0
710,FPGS7m,0.0
711,FPGS8,0.0
712,FPGS8m,0.0
713,FPGS9,0.0
714,FPGS9m,0.0
715,FPGSm,0.0
716,FRTT,0.0
717,FT,0.0
718,FTCD,0.0
719,FTHFCL,-3.280099385
720,FTHFDH,0.0
721,FTHFL,0.0
722,FTHFLm,0.0
723,FUCASE2e,0.0
724,FUCASE2ly,0.0
725,FUCASEe,0.0
726,FUCASEly,0.0
727,FUM,0.0
728,FUMAC,0.0
729,FUMm,0.0
730,FUT11g,-9.243132668
731,FUT12g,-9.243132668
732,FUT14g,-9.243132668
733,FUT15g,-9.243132668
734,FUT16g,-9.243132668
735,FUT17g,-9.243132668
736,FUT18g,-9.243132668
737,FUT31g,0.0
738,FUT32g,0.0
739,FUT33g,0.0
740,FUT34g,0.0
741,FUT35g,0.0
742,FUT910g,0.0
743,FUT911g,0.0
744,FUT91g,0.0
745,FUT92g,0.0
746,FUT93g,0.0
747,FUT94g,0.0
748,FUT95g,0.0
749,FUT96g,0.0
750,FUT97g,0.0
751,FUT98g,0.0
752,FUT99g,0.0
753,G12MT1_U,0.0
754,G12MT2_U,0.0
755,G13MT_U,0.0
756,G14T10g,0.0
757,G14T11g,0.0
758,G14T12g,0.0
759,G14T13g,0.0
760,G14T14g,0.0
761,G14T15g,0.0
762,G14T16g,0.0
763,G14T17g,0.0
764,G14T18g,0.0
765,G14T19g,0.0
766,G14T20g,0.0
767,G14T21g,0.0
768,G14T2g,0.0
769,G14T3g,0.0
770,G14T4g,0.0
771,G14T5g,0.0
772,G14T6g,0.0
773,G14T7g,0.0
774,G14T8g,0.0
775,G14T9g,0.0
776,G14Tg,0.0
777,G16MT_U,0.0
778,G1PTT,0.0
779,G3PD1,0.0
780,G5SADrm,0.0
781,G5SDym,0.0
782,G6PDA,0.0
783,G6PDH1rer,0.0
784,G6PDH2r,0.0
785,G6PDH2rer,0.0
786,G6PPer,0.0
787,GACMTRc,0.0
788,GAL3ST11,5.972356704
789,GAL3ST12,5.972356704
790,GALASE10ly,0.0
791,GALASE11ly,0.0
792,GALASE12ly,0.0
793,GALASE13ly,0.0
794,GALASE14ly,0.0
795,GALASE15ly,0.0
796,GALASE16ly,0.0
797,GALASE17ly,0.0
798,GALASE18ly,0.0
799,GALASE19ly,0.0
800,GALASE1ly,0.0
801,GALASE20ly,0.0
802,GALASE3ly,0.0
803,GALASE4ly,0.0
804,GALASE5ly,0.0
805,GALASE6ly,0.0
806,GALASE7ly,0.0
807,GALASE8ly,0.0
808,GALASE9ly,0.0
809,GALC,0.0
810,GALGT1,0.0
811,GALGT2,0.0
812,GALGT3,0.0
813,GALGT4,0.0
814,GALK,0.0
815,GALNACT1g,0.0
816,GALNACT2g,0.0
817,GALNACT3g,0.0
818,GALNACT4g,0.0
819,GALNACT5g,0.0
820,GALNTg,4.03732838
821,GALOR,0.0
822,GALT,0.0
823,GALT2g,0.0
824,GALTg,0.0
825,GALU,0.0
826,GAMYe,0.0
827,GAO1,0.0
828,GAO1g,0.0
829,GAO2,0.0
830,GAO2g,0.0
831,GAPD,0.0
832,GARFT,-3.995107347
833,GASNASE2ly,0.0
834,GASNASE3ly,0.0
835,GASNASEly,0.0
836,GBA,0.0
837,GBAl,0.0
838,GBGT1,0.0
839,GCALDD,0.0
840,GCALDDm,0.0
841,GCC2am,0.0
842,GCC2bim,0.0
843,GCC2cm,0.0
844,GCCam,0.0
845,GCCbim,0.0
846,GCCcm,0.0
847,GCNTg,0.0
848,GF6PTA,0.0
849,GFUCS,0.0
850,GGH_10FTHF5GLUe,0.0
851,GGH_10FTHF5GLUl,0.0
852,GGH_10FTHF6GLUe,0.0
853,GGH_10FTHF6GLUl,0.0
854,GGH_10FTHF7GLUe,0.0
855,GGH_10FTHF7GLUl,0.0
856,GGH_5DHFe,0.0
857,GGH_5DHFl,0.0
858,GGH_5THFe,0.0
859,GGH_5THFl,0.0
860,GGH_6DHFe,0.0
861,GGH_6DHFl,0.0
862,GGH_6THFe,0.0
863,GGH_6THFl,0.0
864,GGH_7DHFe,0.0
865,GGH_7DHFl,0.0
866,GGH_7THFe,0.0
867,GGH_7THFl,0.0
868,GGNG,0.0
869,GGT_U,0.0
870,GGT5r,0.0
871,GGT6,0.0
872,GHMT2r,0.0
873,GHMT2rm,0.0
874,GHMT3,0.0
875,GHMT3m,-4.235709839
876,GK1,0.0
877,GK1m,0.0
878,GLACO,0.0
879,GLACOm,0.0
880,GLAl,0.0
881,GLB1,0.0
882,GLBRAN,0.0
883,GLCAASE1ly,0.0
884,GLCAASE4ly,0.0
885,GLCAASE5ly,0.0
886,GLCAASE6ly,0.0
887,GLCAASE7ly,0.0
888,GLCAASE8ly,0.0
889,GLCAASE9ly,0.0
890,GLCAE1g,0.0
891,GLCAE2g,0.0
892,GLCAT2g,0.0
893,GLCAT3g,0.0
894,GLCAT4g,0.0
895,GLCAT5g,0.0
896,GLCAT6g,0.0
897,GLCAT7g,0.0
898,GLCAT8g,0.0
899,GLCAT9g,0.0
900,GLCATg,0.0
901,GLCNACASE1ly,0.0
902,GLCNACASE2ly,0.0
903,GLCNACASE3ly,0.0
904,GLCNACASE4ly,0.0
905,GLCNACASE5ly,0.0
906,GLCNACDASg,0.0
907,GLCNACPT_U,0.0
908,GLCNACT_U,0.0
909,GLCNACT1g,0.0
910,GLCNACT2g,0.0
911,GLCNACT3g,0.0
912,GLCNACT4g,0.0
913,GLCNACT5g,0.0
914,GLDBRAN,0.0
915,GLGNS1,0.0
916,GLNLASEer,0.0
917,GLNS,0.0
918,GLPASE1,0.0
919,GLPASE2,0.0
920,GLRASE,0.0
921,GLU5Km,0.0
922,GLUCYS,0.0
923,GLUDC,0.0
924,GLUDxm,0.0
925,GLUDym,0.0
926,GluForTx,0.0
927,GLUNm,0.0
928,GLUPRT,0.0
929,GLUTCOADHm,0.0
930,GLXO1,3.595213698
931,GLXO2p,0.0
932,GLYAMDTRc,0.0
933,GLYATm,0.0
934,GLYCK2,0.0
935,GLYCLTDy,0.0
936,GLYCLTDym,0.0
937,GLYCTO1p,0.0
938,GLYK,0.0
939,GLYKm,0.0
940,GLYOp,0.0
941,GLYOX,0.0
942,GLYOXm,0.0
943,GMAND,0.0
944,GMPR,0.0
945,GMPS2,0.0
946,GNDer,0.0
947,GNMT,0.0
948,GPAM_hs,0.0
949,GPAMm_hs,0.0
950,GPDDA1,0.0
951,GPIAT,0.0
952,GPIDA2er,3.547996228
953,GPIDAer,3.547996228
954,GPIMTer_U,0.0
955,GRTT,0.0
956,GRTTx,0.0
957,GSNKm,0.0
958,GTHDH,0.0
959,GTHO,0.0
960,GTHOm,0.0
961,GTHP,3.775344452
962,GTHPe,3.775344452
963,GTHPm,3.775344452
964,GTHS,0.0
965,GTPCI,0.0
966,GTPCIn,0.0
967,GUACYC,0.0
968,GUAD,-5.545657013
969,GUAPRT,0.0
970,GULN3D,0.0
971,GULNDer,0.0
972,GUR1PP,0.0
973,H2CO3D,0.0
974,H2CO3Dm,0.0
975,H2ETer,0.0
976,H2MTer_U,0.0
977,H2O2syn,0.0
978,H3ETer,0.0
979,H3MTer_U,0.0
980,H4ET3er,0.0
981,H4ETer,0.0
982,H5MTer_U,0.0
983,H6_ET2er,0.0
984,H6ET3er,0.0
985,H6_ETer,0.0
986,H6MTer_U,0.0
987,H7ET2er,0.0
988,H7_ETer,0.0
989,H7MTer_U,0.0
990,H7_TAer,0.0
991,H8MTer_L,0.0
992,H8MTer_U,0.0
993,H8TAer,0.0
994,HACD1m,0.0
995,HACD1x,0.0
996,HACD9m,0.0
997,HBZOPT10m,0.0
998,HEX1,0.0
999,HEX10,0.0
1000,HEX4,0.0
1001,HEX7,0.0
1002,HEXCCPT1,0.0
1003,HEXCCPT2,0.0
1004,HGNTOR,0.0
1005,HIBDm,0.0
1006,HISD,0.0
1007,HISDC,0.0
1008,HISTASE,0.0
1009,HKYNH,0.0
1010,HMBS,0.0
1011,HMGCOARr,0.0
1012,HMGCOASi,0.0
1013,HMGCOASim,0.0
1014,HMGLm,0.0
1015,HMGLx,0.0
1016,HOXG,0.0
1017,HPCLx,0.0
1018,HPDCACRNCPT1,0.0
1019,HPDCACRNCPT2,0.0
1020,HPYRDC,0.0
1021,HPYRDCm,0.0
1022,HPYRR2x,3.595213698
1023,HPYRRy,0.0
1024,HS1ly,0.0
1025,HS2ly,0.0
1026,HS3ly,0.0
1027,HS4ly,0.0
1028,HSD11B1r,0.0
1029,HSD11B2r,0.0
1030,HSD17B1,0.0
1031,HSD17B2r,0.0
1032,HSD17B42x,0.0
1033,HSD17B4x,0.0
1034,HSD17B7r,0.0
1035,HSD17B8r,0.0
1036,HSD17B9r,0.0
1037,HSD3A1r,0.0
1038,HSD3A2r,0.0
1039,HSD3B11,0.0
